2022-01-06 21:38:36.302 [main] INFO  o.s.security.web.DefaultSecurityFilterChain - Creating filter chain: any request, [com.example.cyjuser.filter.WebSecurityCorsFilter@3efd3302, org.springframework.security.web.context.request.async.WebAsyncManagerIntegrationFilter@531292ed, org.springframework.security.web.context.SecurityContextPersistenceFilter@b0c4905, org.springframework.security.web.header.HeaderWriterFilter@5f1c406e, org.springframework.web.filter.CorsFilter@41538150, org.springframework.security.web.authentication.logout.LogoutFilter@65b7678a, com.example.cyjuser.filter.JWTAuthenticationFilter@1360ef8d, com.example.cyjuser.filter.MyUsernamePasswordAuthenticationFilter@44d2bbc0, org.springframework.security.web.savedrequest.RequestCacheAwareFilter@4a9f0360, org.springframework.security.web.servletapi.SecurityContextHolderAwareRequestFilter@7d1cfe97, org.springframework.security.web.authentication.AnonymousAuthenticationFilter@310cc4d, org.springframework.security.web.session.SessionManagementFilter@62ec4146, org.springframework.security.web.access.ExceptionTranslationFilter@444ebefd, com.example.cyjuser.filter.MyFilterSecurityInterceptor@1ee22768, org.springframework.security.web.access.intercept.FilterSecurityInterceptor@36f438f1]
2022-01-06 21:38:36.414 [main] WARN  o.s.c.l.c.BlockingLoadBalancerClientAutoConfiguration$BlockingLoadBalancerClientRibbonWarnLogger - You already have RibbonLoadBalancerClient on your classpath. It will be used by default. As Spring Cloud Ribbon is in maintenance mode. We recommend switching to BlockingLoadBalancerClient instead. In order to use it, set the value of `spring.cloud.loadbalancer.ribbon.enabled` to `false` or remove spring-cloud-starter-netflix-ribbon from your project.
2022-01-06 21:38:36.605 [main] INFO  o.s.cloud.netflix.zuul.ZuulFilterInitializer - Starting filter initializer
2022-01-06 21:38:36.691 [main] INFO  o.s.cloud.netflix.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2022-01-06 21:38:36.723 [main] INFO  com.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2022-01-06 21:38:36.769 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON encoding codec LegacyJacksonJson
2022-01-06 21:38:36.769 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using JSON decoding codec LegacyJacksonJson
2022-01-06 21:38:36.886 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML encoding codec XStreamXml
2022-01-06 21:38:36.886 [main] INFO  c.n.discovery.provider.DiscoveryJerseyProvider - Using XML decoding codec XStreamXml
2022-01-06 21:38:37.104 [main] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: true
2022-01-06 21:38:37.291 [main] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2022-01-06 21:38:37.387 [main] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2022-01-06 21:38:37.400 [main] INFO  com.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2022-01-06 21:38:37.403 [main] INFO  com.netflix.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2022-01-06 21:38:37.408 [main] INFO  com.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1641476317407 with initial instances count: 0
2022-01-06 21:38:37.408 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application CYJ-USER with eureka with status UP
2022-01-06 21:38:37.408 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1641476317408, current=UP, previous=STARTING]
2022-01-06 21:38:37.408 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8090"]
2022-01-06 21:38:37.408 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CYJ-USER/host.docker.internal:cyj-user:8090: registering service...
2022-01-06 21:38:37.434 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8090 (http) with context path ''
2022-01-06 21:38:37.444 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8090
2022-01-06 21:38:37.470 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CYJ-USER/host.docker.internal:cyj-user:8090 - registration status: 204
2022-01-06 21:38:37.709 [main] INFO  com.example.cyjuser.CyjUserApplication - Started CyjUserApplication in 12.679 seconds (JVM running for 14.323)
2022-01-06 21:38:38.422 [RMI TCP Connection(2)-192.168.1.4] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-06 21:38:38.422 [RMI TCP Connection(2)-192.168.1.4] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-06 21:38:38.434 [RMI TCP Connection(2)-192.168.1.4] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 12 ms
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: false
2022-01-06 21:39:07.409 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2022-01-06 21:39:07.440 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2022-01-06 21:43:37.301 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
