2022-01-05 22:32:41.770 [main] INFO  o.s.c.n.e.serviceregistry.EurekaServiceRegistry - Registering application CYJ-AUTH with eureka with status UP
2022-01-05 22:32:41.770 [main] INFO  com.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1641393161770, current=UP, previous=STARTING]
2022-01-05 22:32:41.770 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CYJ-AUTH/host.docker.internal:cyj-auth:8100: registering service...
2022-01-05 22:32:41.770 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8100"]
2022-01-05 22:32:41.800 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8100 (http) with context path ''
2022-01-05 22:32:41.800 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration - Updating port to 8100
2022-01-05 22:32:41.857 [DiscoveryClient-InstanceInfoReplicator-0] INFO  com.netflix.discovery.DiscoveryClient - DiscoveryClient_CYJ-AUTH/host.docker.internal:cyj-auth:8100 - registration status: 204
2022-01-05 22:32:42.123 [main] INFO  com.example.cyjauth.CyjAuthApplication - Started CyjAuthApplication in 12.971 seconds (JVM running for 14.836)
2022-01-05 22:32:43.091 [RMI TCP Connection(7)-192.168.1.4] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-01-05 22:32:43.091 [RMI TCP Connection(7)-192.168.1.4] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2022-01-05 22:32:43.101 [RMI TCP Connection(7)-192.168.1.4] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 10 ms
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Disable delta property : false
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application is null : false
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Application version is -1: false
2022-01-05 22:33:11.769 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2022-01-05 22:33:11.810 [DiscoveryClient-CacheRefreshExecutor-0] INFO  com.netflix.discovery.DiscoveryClient - The response status is 200
2022-01-05 22:37:41.544 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-01-05 22:42:41.547 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2022-01-05 22:47:41.568 [AsyncResolver-bootstrap-executor-0] INFO  c.n.d.shared.resolver.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
